Time,綠色飲食
2021/01/01,9
2021/01/02,21
2021/01/03,20
2021/01/04,29
2021/01/05,70
2021/01/06,60
2021/01/07,60
2021/01/08,31
2021/01/09,20
2021/01/10,16
2021/01/11,82
2021/01/12,29
2021/01/13,31
2021/01/14,22
2021/01/15,24
2021/01/16,18
2021/01/17,21
2021/01/18,40
2021/01/19,31
2021/01/20,47
2021/01/21,62
2021/01/22,27
2021/01/23,22
2021/01/24,11
2021/01/25,56
2021/01/26,52
2021/01/27,73
2021/01/28,58
2021/01/29,31
2021/01/30,18
2021/01/31,33
2021/02/01,36
2021/02/02,43
2021/02/03,85
2021/02/04,46
2021/02/05,33
2021/02/06,27
2021/02/07,27
2021/02/08,78
2021/02/09,65
2021/02/10,74
2021/02/11,21
2021/02/12,49
2021/02/13,18
2021/02/14,20
2021/02/15,56
2021/02/16,27
2021/02/17,47
2021/02/18,33
2021/02/19,55
2021/02/20,36
2021/02/21,20
2021/02/22,73
2021/02/23,65
2021/02/24,44
2021/02/25,52
2021/02/26,47
2021/02/27,25
2021/02/28,38
2021/03/01,28
2021/03/02,47
2021/03/03,41
2021/03/04,41
2021/03/05,39
2021/03/06,19
2021/03/07,24
2021/03/08,65
2021/03/09,49
2021/03/10,60
2021/03/11,47
2021/03/12,40
2021/03/13,36
2021/03/14,44
2021/03/15,54
2021/03/16,59
2021/03/17,118
2021/03/18,61
2021/03/19,51
2021/03/20,37
2021/03/21,34
2021/03/22,52
2021/03/23,63
2021/03/24,81
2021/03/25,90
2021/03/26,77
2021/03/27,90
2021/03/28,48
2021/03/29,98
2021/03/30,62
2021/03/31,86
2021/04/01,51
2021/04/02,28
2021/04/03,10
2021/04/04,15
2021/04/05,30
2021/04/06,40
2021/04/07,43
2021/04/08,55
2021/04/09,58
2021/04/10,61
2021/04/11,57
2021/04/12,69
2021/04/13,187
2021/04/14,92
2021/04/15,65
2021/04/16,60
2021/04/17,35
2021/04/18,26
2021/04/19,52
2021/04/20,81
2021/04/21,92
2021/04/22,160
2021/04/23,80
2021/04/24,41
2021/04/25,66
2021/04/26,77
2021/04/27,76
