Time,永續提倡
2020/01/01,238
2020/01/02,237
2020/01/03,182
2020/01/04,109
2020/01/05,186
2020/01/06,295
2020/01/07,221
2020/01/08,201
2020/01/09,266
2020/01/10,158
2020/01/11,108
2020/01/12,79
2020/01/13,148
2020/01/14,186
2020/01/15,235
2020/01/16,300
2020/01/17,270
2020/01/18,191
2020/01/19,2982
2020/01/20,544
2020/01/21,328
2020/01/22,317
2020/01/23,221
2020/01/24,128
2020/01/25,101
2020/01/26,68
2020/01/27,196
2020/01/28,172
2020/01/29,126
2020/01/30,105
2020/01/31,164
2020/02/01,87
2020/02/02,122
2020/02/03,221
2020/02/04,151
2020/02/05,137
2020/02/06,1107
2020/02/07,142
2020/02/08,169
2020/02/09,114
2020/02/10,201
2020/02/11,184
2020/02/12,232
2020/02/13,177
2020/02/14,137
2020/02/15,135
2020/02/16,86
2020/02/17,573
2020/02/18,439
2020/02/19,275
2020/02/20,201
2020/02/21,197
2020/02/22,159
2020/02/23,147
2020/02/24,196
2020/02/25,178
2020/02/26,204
2020/02/27,252
2020/02/28,240
2020/02/29,155
2020/03/01,1008
2020/03/02,280
2020/03/03,206
2020/03/04,232
2020/03/05,1482
2020/03/06,209
2020/03/07,176
2020/03/08,171
2020/03/09,243
2020/03/10,234
2020/03/11,311
2020/03/12,288
2020/03/13,393
2020/03/14,168
2020/03/15,180
2020/03/16,185
2020/03/17,257
2020/03/18,484
2020/03/19,342
2020/03/20,364
2020/03/21,169
2020/03/22,1609
2020/03/23,293
2020/03/24,345
2020/03/25,363
2020/03/26,386
2020/03/27,284
2020/03/28,196
2020/03/29,122
2020/03/30,168
2020/03/31,265
2020/04/01,190
2020/04/02,167
2020/04/03,88
2020/04/04,106
2020/04/05,138
2020/04/06,199
2020/04/07,246
2020/04/08,476
2020/04/09,353
2020/04/10,250
2020/04/11,122
2020/04/12,131
2020/04/13,163
2020/04/14,286
2020/04/15,445
2020/04/16,534
2020/04/17,216
2020/04/18,172
2020/04/19,261
2020/04/20,375
2020/04/21,412
2020/04/22,1199
2020/04/23,667
2020/04/24,386
2020/04/25,420
2020/04/26,375
2020/04/27,312
2020/04/28,293
2020/04/29,202
2020/04/30,203
2020/05/01,151
2020/05/02,119
2020/05/03,127
2020/05/04,125
2020/05/05,187
2020/05/06,257
2020/05/07,418
2020/05/08,222
2020/05/09,132
2020/05/10,182
2020/05/11,222
2020/05/12,287
2020/05/13,196
2020/05/14,1135
2020/05/15,208
2020/05/16,163
2020/05/17,90
2020/05/18,208
2020/05/19,243
