Time,淨零排放
2021/01/01,19
2021/01/02,15
2021/01/03,21
2021/01/04,35
2021/01/05,34
2021/01/06,36
2021/01/07,29
2021/01/08,21
2021/01/09,7
2021/01/10,9
2021/01/11,26
2021/01/12,28
2021/01/13,24
2021/01/14,24
2021/01/15,11
2021/01/16,5
2021/01/17,9
2021/01/18,49
2021/01/19,44
2021/01/20,35
2021/01/21,35
2021/01/22,39
2021/01/23,14
2021/01/24,20
2021/01/25,37
2021/01/26,36
2021/01/27,27
2021/01/28,29
2021/01/29,67
2021/01/30,42
2021/01/31,21
2021/02/01,21
2021/02/02,24
2021/02/03,58
2021/02/04,55
2021/02/05,22
2021/02/06,8
2021/02/07,43
2021/02/08,37
2021/02/09,47
2021/02/10,22
2021/02/11,14
2021/02/12,5
2021/02/13,11
2021/02/14,8
2021/02/15,15
2021/02/16,21
2021/02/17,48
2021/02/18,71
2021/02/19,65
2021/02/20,48
2021/02/21,40
2021/02/22,38
2021/02/23,90
2021/02/24,85
2021/02/25,77
2021/02/26,70
2021/02/27,24
2021/02/28,43
2021/03/01,19
2021/03/02,104
2021/03/03,105
2021/03/04,102
2021/03/05,121
2021/03/06,45
2021/03/07,79
2021/03/08,119
2021/03/09,154
2021/03/10,186
2021/03/11,150
2021/03/12,130
2021/03/13,52
2021/03/14,45
2021/03/15,84
2021/03/16,146
2021/03/17,168
2021/03/18,133
2021/03/19,128
2021/03/20,50
2021/03/21,95
2021/03/22,192
2021/03/23,96
2021/03/24,88
2021/03/25,111
2021/03/26,114
2021/03/27,69
2021/03/28,60
2021/03/29,94
2021/03/30,139
2021/03/31,100
2021/04/01,112
2021/04/02,62
2021/04/03,49
2021/04/04,58
2021/04/05,45
2021/04/06,80
2021/04/07,86
2021/04/08,99
2021/04/09,103
2021/04/10,55
2021/04/11,63
2021/04/12,75
2021/04/13,88
2021/04/14,132
2021/04/15,144
2021/04/16,243
2021/04/17,113
2021/04/18,175
2021/04/19,273
2021/04/20,406
2021/04/21,422
2021/04/22,1100
2021/04/23,986
2021/04/24,438
2021/04/25,261
2021/04/26,234
2021/04/27,240
2021/04/28,196
2021/04/29,228
2021/04/30,110
2021/05/01,78
2021/05/02,70
2021/05/03,127
2021/05/04,98
2021/05/05,134
2021/05/06,223
2021/05/07,184
2021/05/08,211
2021/05/09,92
2021/05/10,161
2021/05/11,132
2021/05/12,103
2021/05/13,188
2021/05/14,124
2021/05/15,55
2021/05/16,50
2021/05/17,68
2021/05/18,138
2021/05/19,158
2021/05/20,239
2021/05/21,148
2021/05/22,110
2021/05/23,79
2021/05/24,123
2021/05/25,137
2021/05/26,145
2021/05/27,152
